Full Name,Company,Contact Rank,Job Title,Employer / Agency,Contact Type,Why This Contact,LinkedIn / Route,Email,Verification Confidence,Verified / Researched,Source URL,Suggested Personalization,Outreach Status,Last Contact,Next Follow-up,Notes,Is Placeholder
TO RESEARCH,Cloaked,3,Creator Partnerships / Sponsorships Manager,Cloaked,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Cloaked + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Cloaked,4,Partnerships / Affiliate Manager,Cloaked,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Cloaked + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Cloaked,5,Growth / Performance Marketing Manager,Cloaked,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Cloaked + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,NordPass,1,Head of Influencer / Creator Marketing,NordPass,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search NordPass + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,NordPass,2,Influencer Marketing Manager,NordPass,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search NordPass + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,NordPass,3,Creator Partnerships / Sponsorships Manager,NordPass,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search NordPass + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,NordPass,4,Partnerships / Affiliate Manager,NordPass,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search NordPass + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,NordPass,5,Growth / Performance Marketing Manager,NordPass,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search NordPass + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Brilliant,1,Head of Influencer / Creator Marketing,Brilliant,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Brilliant + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Brilliant,2,Influencer Marketing Manager,Brilliant,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Brilliant + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Brilliant,3,Creator Partnerships / Sponsorships Manager,Brilliant,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Brilliant + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Brilliant,4,Partnerships / Affiliate Manager,Brilliant,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Brilliant + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Brilliant,5,Growth / Performance Marketing Manager,Brilliant,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Brilliant + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Cynthia Youngblood,World of Warships (Wargaming),1,Marketing / Influencer Campaigns,Wargaming,Internal,Current Wargaming contact publicly associated with major influencer campaign work.,https://www.linkedin.com/in/cynthiareyes5,,Medium-High,2026-09-10,https://www.linkedin.com/in/cynthiareyes5,Mention military-analysis audience overlap.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Stefano Incollingo,World of Warships (Wargaming),2,Influencer Marketing,Wargaming,Internal,Profile explicitly references influencer marketing work.,https://fr.linkedin.com/in/stefanoincollingo/en,,High,2026-09-10,https://fr.linkedin.com/in/stefanoincollingo/en,Direct creator outreach target.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Michael Bakaleinik,World of Warships (Wargaming),3,Marketing / Partnerships,Wargaming,Internal,Current Wargaming route with sponsor/collaboration activity.,https://www.linkedin.com/in/michael-bakaleinik,,Medium,2026-09-10,https://www.linkedin.com/in/michael-bakaleinik,Secondary route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,World of Warships (Wargaming),4,Partnerships / Affiliate Manager,World of Warships (Wargaming),Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search World of Warships (Wargaming) + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,World of Warships (Wargaming),5,Growth / Performance Marketing Manager,World of Warships (Wargaming),Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search World of Warships (Wargaming) + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Severine Delhove,Odoo,1,Influencer Marketing,Odoo,Internal,Works in Odoo influencer marketing.,https://be.linkedin.com/in/severine-delhove-influencer-marketing,,High,2026-09-10,https://be.linkedin.com/in/severine-delhove-influencer-marketing,Reference Odoo's sponsorship presence in serious long-form channels.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Sofia Sanchez Navarro,Odoo,2,Influencer Marketing / Spain,Odoo,Internal,Publicly seeks Spanish influencers for Odoo collaborations.,https://es.linkedin.com/in/sofia-sanchez-navarro-a76273303/en,,High,2026-09-10,https://es.linkedin.com/in/sofia-sanchez-navarro-a76273303/en,Spanish route; mention international English-language channel + Spain-based management.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Rosa Carcel,Odoo,3,Marketing / Influencer team – Spain,Odoo,Internal,Publicly shared Odoo Spain influencer-marketing hiring/work.,https://es.linkedin.com/in/rosacarcel,,Medium-High,2026-09-10,https://es.linkedin.com/in/rosacarcel,Ask for routing to sponsorship owner.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Shireen C.,Odoo,4,Marketing / Influencer team – Spain,Odoo,Internal,Connected to Odoo Spain influencer-marketing hiring.,https://es.linkedin.com/in/shireencoppens,,Medium,2026-09-10,https://es.linkedin.com/in/shireencoppens,Secondary local route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Lidia Hernández Ferrer,Odoo,5,Marketing / Influencer,Odoo,Internal,Publicly connected to Odoo influencer-marketing activity.,https://es.linkedin.com/in/lidia-hern%C3%A1ndez-ferrer-a17b0b161,,Medium,2026-09-10,https://es.linkedin.com/in/lidia-hern%C3%A1ndez-ferrer-a17b0b161,Secondary route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Ohad Lotan,MyHeritage,1,Influencer Marketing / Creator campaigns,MyHeritage,Internal,Publicly involved in influencer marketing and creator campaigns for years.,https://il.linkedin.com/in/ohad-lotan,,High,2026-09-10,https://il.linkedin.com/in/ohad-lotan,History/identity angle + proven creator format.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Margaux Stelman,MyHeritage,2,Partnerships / Affiliate,MyHeritage,Internal,Partnerships and affiliate route; public contact details available.,https://il.linkedin.com/in/margaux-stelman,margaux.stelman@myheritage.com,High,2026-09-10,https://il.linkedin.com/in/margaux-stelman,Paid sponsorship first; affiliate second.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Nir Rosner,MyHeritage,3,Online Marketing / Partnerships,MyHeritage,Internal,Hiring/management route for partnerships and affiliate marketing.,https://il.linkedin.com/in/nir-rosner,,Medium-High,2026-09-10,https://il.linkedin.com/in/nir-rosner,Ask to route to influencer buyer.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Ben Goldenshtein,MyHeritage,4,Affiliate / Partnerships,MyHeritage,Internal,Affiliate partnership route.,https://www.linkedin.com/in/ben-goldenshtein,,Medium,2026-09-10,https://www.linkedin.com/in/ben-goldenshtein,Secondary route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,MyHeritage,5,Growth / Performance Marketing Manager,MyHeritage,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search MyHeritage + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Jon-Eric Cornellier,1Password,1,Performance Marketing,1Password,Internal,Current performance marketing team; closest verified acquisition route found.,https://www.linkedin.com/in/jecornellier,,High,2026-09-10,https://www.linkedin.com/in/jecornellier,Lead with measurable creator acquisition and security fit.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Sara Gauthier,1Password,2,"Lead, Field Marketing",1Password,Internal,Leads field marketing and partnership activations.,https://www.linkedin.com/in/saralcohen2,,Medium,2026-09-10,https://www.linkedin.com/in/saralcohen2,Ask to route to performance/creator owner.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Melissa Rightor,1Password,3,Strategic Marketing,1Password,Internal,Senior revenue-growth marketing route.,https://www.linkedin.com/in/melissarightor,,Medium,2026-09-10,https://www.linkedin.com/in/melissarightor,Escalation/routing.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Laura O'Melia,1Password,4,Channel Marketing,1Password,Internal,Senior channel marketing / GTM route.,https://www.linkedin.com/in/lauraomelia,,Low-Medium,2026-09-10,https://www.linkedin.com/in/lauraomelia,Not a creator buyer; use only as routing fallback.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Larissa Crandall,1Password,5,"Global VP, Channel",1Password,Internal,Senior partner leadership route.,https://www.linkedin.com/in/larissacrandall,,Low-Medium,2026-09-10,https://www.linkedin.com/in/larissacrandall,Escalation only; not first-line influencer contact.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,OneRep,1,Head of Influencer / Creator Marketing,OneRep,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search OneRep + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,OneRep,2,Influencer Marketing Manager,OneRep,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search OneRep + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,OneRep,3,Creator Partnerships / Sponsorships Manager,OneRep,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search OneRep + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,OneRep,4,Partnerships / Affiliate Manager,OneRep,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search OneRep + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,OneRep,5,Growth / Performance Marketing Manager,OneRep,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search OneRep + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Madison Chopp,SimpliSafe,1,Influencer Marketing,The Outloud Group,Agency,Agency-side route connected to influencer campaigns for SimpliSafe.,https://www.linkedin.com/in/madison-chopp-b648133b,,High,2026-09-10,https://www.linkedin.com/in/madison-chopp-b648133b,Pitch security-minded audience and clean sponsor-safe integrations.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Maya Lillard,SimpliSafe,2,Marketing / Influencer background,SimpliSafe,Internal,Current SimpliSafe contact with influencer-management experience.,https://www.linkedin.com/in/mayalillard,,Medium,2026-09-10,https://www.linkedin.com/in/mayalillard,Ask to route to current creator acquisition owner.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,SimpliSafe,3,Creator Partnerships / Sponsorships Manager,SimpliSafe,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/whataboutit,Search SimpliSafe + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,SimpliSafe,4,Partnerships / Affiliate Manager,SimpliSafe,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/whataboutit,Search SimpliSafe + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,SimpliSafe,5,Growth / Performance Marketing Manager,SimpliSafe,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/whataboutit,Search SimpliSafe + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Conflict of Nations,1,Head of Influencer / Creator Marketing,Conflict of Nations,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Conflict of Nations + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Conflict of Nations,2,Influencer Marketing Manager,Conflict of Nations,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Conflict of Nations + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Conflict of Nations,3,Creator Partnerships / Sponsorships Manager,Conflict of Nations,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Conflict of Nations + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Conflict of Nations,4,Partnerships / Affiliate Manager,Conflict of Nations,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Conflict of Nations + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Conflict of Nations,5,Growth / Performance Marketing Manager,Conflict of Nations,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Conflict of Nations + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Ekster,1,Head of Influencer / Creator Marketing,Ekster,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Ekster + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Ekster,2,Influencer Marketing Manager,Ekster,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Ekster + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Ekster,3,Creator Partnerships / Sponsorships Manager,Ekster,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Ekster + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Ekster,4,Partnerships / Affiliate Manager,Ekster,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Ekster + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Ekster,5,Growth / Performance Marketing Manager,Ekster,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Ekster + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Maddie Wallace,Rocket Money,1,Influencer Marketing Lead,Rocket Money,Internal,Leads/hiring influencer marketing team and direct-response creator acquisition.,https://www.linkedin.com/in/maddie-wallace,,High,2026-09-10,https://www.linkedin.com/in/maddie-wallace,Pitch long-form direct-response audience; qualify US share.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Minting Young,Rocket Money,2,Influencer Marketing,Rocket Money,Internal,Performance-driven influencer marketer.,https://www.linkedin.com/in/mintingyoung,,High,2026-09-10,https://www.linkedin.com/in/mintingyoung,Lead with audience quality and expected integration performance.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Lawrence Young,Rocket Money,3,Growth,Rocket Money,Internal,Growth route at Rocket Money.,https://www.linkedin.com/in/lawrencejyoung,,Medium,2026-09-10,https://www.linkedin.com/in/lawrencejyoung,Escalation if influencer team is unresponsive.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Cameron Mills,Rocket Money,4,Marketing / Growth,Rocket Money,Internal,Relevant Rocket Money marketing route.,https://www.linkedin.com/in/cameronamills,,Medium,2026-09-10,https://www.linkedin.com/in/cameronamills,Secondary route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Lauren Bennett,Rocket Money,5,Growth / Creative,Rocket Money,Internal,Senior growth/creative experience relevant to creator acquisition.,https://www.linkedin.com/in/laurenbrunner,,Medium,2026-09-10,https://www.linkedin.com/in/laurenbrunner,Secondary/escalation route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Anna Tuck Pharis,Storyblocks,1,Partnerships Manager – Influencer & Creator Marketing,Storyblocks,Internal,Explicit influencer/creator partnerships remit.,https://www.linkedin.com/in/anna-pharis,,High,2026-09-10,https://www.linkedin.com/in/anna-pharis,Lead with visual storytelling credibility and long-form creator audience.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Kaitlyn Rossi,Storyblocks,2,Creator Partnerships / Marketing,Storyblocks,Internal,Current Storyblocks creator-partnership activity.,https://www.linkedin.com/in/kaitlynrossi,,Medium-High,2026-09-10,https://www.linkedin.com/in/kaitlynrossi,YouTube integration + potential creator-use case.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Kyle Miller,Storyblocks,3,Marketing / Creator team,Storyblocks,Internal,Current Storyblocks creator-team connection.,https://www.linkedin.com/in/kymil,,Medium,2026-09-10,https://www.linkedin.com/in/kymil,Secondary route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Jason Chong,Storyblocks,4,Storyblocks / Partnerships,Storyblocks,Internal,Relevant Storyblocks partnership contact; exact creator remit should be reconfirmed on outreach.,https://www.linkedin.com/in/jason-chong,,Low-Medium,2026-09-10,https://www.linkedin.com/in/jason-chong,Routing fallback.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,Storyblocks,5,Growth / Performance Marketing Manager,Storyblocks,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/searchparty,Search Storyblocks + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Internxt,1,Head of Influencer / Creator Marketing,Internxt,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Internxt + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Internxt,2,Influencer Marketing Manager,Internxt,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Internxt + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Internxt,3,Creator Partnerships / Sponsorships Manager,Internxt,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Internxt + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Internxt,4,Partnerships / Affiliate Manager,Internxt,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Internxt + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Internxt,5,Growth / Performance Marketing Manager,Internxt,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Internxt + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Windscribe,1,Head of Influencer / Creator Marketing,Windscribe,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Windscribe + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Windscribe,2,Influencer Marketing Manager,Windscribe,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Windscribe + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Windscribe,3,Creator Partnerships / Sponsorships Manager,Windscribe,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Windscribe + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Windscribe,4,Partnerships / Affiliate Manager,Windscribe,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Windscribe + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Windscribe,5,Growth / Performance Marketing Manager,Windscribe,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Windscribe + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Raycon,1,Head of Influencer / Creator Marketing,Raycon,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Raycon + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Raycon,2,Influencer Marketing Manager,Raycon,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Raycon + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Raycon,3,Creator Partnerships / Sponsorships Manager,Raycon,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Raycon + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Raycon,4,Partnerships / Affiliate Manager,Raycon,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Raycon + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Raycon,5,Growth / Performance Marketing Manager,Raycon,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/theoperationsroom,Search Raycon + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Nebula,1,Head of Influencer / Creator Marketing,Nebula,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/tldrdaily,Search Nebula + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
